source_id,genre,condition,target_persona,model,mode,prompt_variant,repeat_idx,d_H,delta_H,text_len,hop_index,d_total,d_step,dS,dR,nli_entailment,creativity_auto,creativity_auto_geom,value_auto,value_auto_geom,novelty_auto_combined,distinct2_rel,novel_ngram_rel,embedding_distance_rel,coherence_auto,perplexity,sentiment_shift,kendall_tau,levenshtein,novelty_judge,coherence_judge,fidelity_judge,value_judge,value_judge_geom,creativity_judge,creativity_judge_geom,fidelity_fused,source_file
academic_02,academic,T0,,gen_openai_4o,identity,0,0,0.0,,241,,,,0.0,0.0,0.5875829458236694,0.24333106969691154,0.24044988026485314,0.6940755561502465,0.6858572749421746,0.3505829697368534,0.55174890921056,0.0,0.5,0.8005681664768235,39.9289665222168,0.0,1.0,0.0,0.26666666666666666,1.0,1.0,0.8968957364559174,0.8909497589156387,0.23917219638824463,0.23758660237750365,0.7937914729118347,main_continuous_metrics
academic_02,academic,T1,rational_conservative,gen_openai_4o,joint,0,0,0.35355339059327373,"[0.0, -1.0]",247,,,,0.0,-1.0,0.8382760882377625,0.3242256563375254,0.3242252949850632,0.8370264167487758,0.8370254838751714,0.38735415017951363,0.6620624505385408,0.0,0.5,0.8357767452597891,35.4619140625,0.033828308805823326,1.0,0.4546952224052718,0.26666666666666666,1.0,1.0,0.9595690220594406,0.9587168738052342,0.25588507254918413,0.2556578330147291,0.9191380441188812,main_continuous_metrics
academic_02,academic,T1,rational_conservative,gen_openai_4o,joint,0,1,0.35355339059327373,"[0.0, -1.0]",247,,,,0.0,-1.0,0.8382760882377625,0.3242256563375254,0.3242252949850632,0.8370264167487758,0.8370254838751714,0.38735415017951363,0.6620624505385408,0.0,0.5,0.8357767452597891,35.4619140625,0.033828308805823326,1.0,0.4546952224052718,0.26666666666666666,1.0,1.0,0.9595690220594406,0.9587168738052342,0.25588507254918413,0.2556578330147291,0.9191380441188812,main_continuous_metrics
academic_02,academic,T1,rational_conservative,gen_openai_4o,joint,0,2,0.35355339059327373,"[0.0, -1.0]",247,,,,0.0,-1.0,0.8382760882377625,0.3242256563375254,0.3242252949850632,0.8370264167487758,0.8370254838751714,0.38735415017951363,0.6620624505385408,0.0,0.5,0.8357767452597891,35.4619140625,0.033828308805823326,1.0,0.4546952224052718,0.26666666666666666,1.0,1.0,0.9595690220594406,0.9587168738052342,0.25588507254918413,0.2556578330147291,0.9191380441188812,main_continuous_metrics
academic_02,academic,T2,emotional_conservative,gen_openai_4o,joint,0,0,0.7905694150420948,"[-2.0, -1.0]",242,,,,-2.0,-1.0,0.8005127310752869,0.37299792004740084,0.37250636287568645,0.8438194426547114,0.8427074109881106,0.44203522838241893,0.7024844121136434,0.12362127303361331,0.5,0.887126154234136,28.536056518554688,0.1034126989543438,0.915433782055248,0.5994100294985251,,,,,,,,,main_continuous_metrics
academic_02,academic,T2,emotional_adventurous,gen_openai_4o,joint,0,1,0.7905694150420948,"[-2.0, 1.0]",268,,,,-2.0,1.0,0.5731269121170044,0.2943786348201312,0.2940727579371189,0.6004941600520792,0.5998702109599311,0.490227306781136,0.7100355384650403,0.26064638187836786,0.5,0.6278614079871541,61.59003448486328,0.10268782265484333,0.9232861690768366,0.655457552370452,,,,,,,,,main_continuous_metrics
academic_02,academic,T2,rational_adventurous,gen_openai_4o,joint,0,2,0.35355339059327373,"[0.0, 1.0]",276,,,,0.0,1.0,0.7904369235038757,0.33729074903700257,0.3364018574337695,0.7369682235141078,0.7350260271520623,0.45767339523634937,0.6964063489616236,0.17661383674742454,0.5,0.68349952352434,54.43873977661133,0.0698750652372837,0.8595732599803958,0.5709647495361782,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.640_R-0.073,gen_openai_4o,joint,0,0,0.5804501544844849,"[-1.640118953102074, -0.07340895315870713]",226,,,,-1.640118953102074,-0.07340895315870713,0.9005264043807983,0.3270295510044364,0.3258742748474171,0.8307585549773482,0.8278237879269169,0.3936517403824428,0.6809552211473284,0.0,0.5,0.7609907055738979,44.834022521972656,0.035310182720422745,1.0,0.3904149620105202,0.26666666666666666,1.0,1.0,0.9751316010951996,0.9748144450049964,0.26003509362538657,0.259950518667999,0.9502632021903992,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.683_R+0.237,gen_openai_4o,joint,0,0,0.6009109788141085,"[-1.6829625297841058, 0.2374640162578795]",242,,,,-1.6829625297841058,0.2374640162578795,0.17744414508342743,0.18156757767290702,0.1421927481937608,0.46923780659754893,0.3674786772598663,0.38694149346033413,0.6608244803810025,0.0,0.5,0.7610314681116704,44.82899856567383,0.01923949271440506,0.852147606136882,0.4732532751091703,0.5333333333333333,0.9333333333333333,1.0,0.7610277029375235,0.741265090485358,0.4058814415666792,0.39534138159219095,0.5887220725417137,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.051_R-0.866,gen_openai_4o,joint,0,0,0.48145196407077967,"[-1.0507286328245786, -0.8662201162657692]",228,,,,-1.0507286328245786,-0.8662201162657692,0.7074843645095825,0.2905461845978587,0.2903900087269226,0.7314643646858316,0.7310711842199734,0.39721167376711514,0.6916350213013452,0.0,0.5,0.7554443648620807,45.51741409301758,0.01148379035294056,1.0,0.43969555035128804,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.557_R-0.394,gen_openai_4o,joint,0,0,0.5678244817368505,"[-1.5569775198984472, -0.3939773331153249]",231,,,,-1.5569775198984472,-0.3939773331153249,0.8703128695487976,0.3060937006624293,0.30275194154598095,0.7585335247424352,0.7502522817245162,0.4035335165526999,0.7106005496580998,0.0,0.5,0.6467541799360728,59.123329162597656,0.04410856030881405,1.0,0.4694224235560589,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S+0.338_R-0.051,gen_openai_4o,joint,0,1,0.23480263804996895,"[-0.6621478189820489, -0.05117124680046175]",227,,,,-0.6621478189820489,-0.05117124680046175,0.8514739274978638,0.3109702240904047,0.3100100254035911,0.7894809764460431,0.787043255602946,0.3938919788672804,0.6816759366018412,0.0,0.5,0.7274880253942224,48.96320724487305,0.04291703179478645,1.0,0.3845710995970063,0.4,1.0,1.0,0.9628684818744659,0.9621522560119744,0.3851473927497864,0.38486090240478976,0.9257369637489319,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.834_R-0.184,gen_openai_4o,joint,0,1,0.6517704808209531,"[-1.8342547845737802, -0.18424837210897538]",237,,,,-1.8342547845737802,-0.18424837210897538,0.8926249146461487,0.3184820355348031,0.3174068339471127,0.8248995018026174,0.8221146249333968,0.38608586238546394,0.6582575871563918,0.0,0.5,0.7571740889590861,45.3043212890625,0.015444047749042511,1.0,0.34875846501128666,0.26666666666666666,1.0,1.0,0.9731562286615372,0.9727859257426962,0.2595083276430766,0.2594095801980523,0.9463124573230743,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.286_R-0.163,gen_openai_4o,joint,0,1,0.4581759979241396,"[-1.2856809808484688, -0.16256191458877822]",228,,,,-1.2856809808484688,-0.16256191458877822,0.8859099745750427,0.3285339061029046,0.32702619303907576,0.8085376482650233,0.8048270943397161,0.4063309937488742,0.7189929812466227,0.0,0.5,0.7311653219550038,48.509281158447266,0.004973540082573891,1.0,0.407492795389049,,,,,,,,,main_continuous_metrics
