hypothesis,generator_model,statistic,value,notes
H1,gen_qwen3_4b,empirical_d_q03,0.29478869677284064,
H1,gen_qwen3_4b,empirical_d_q97,0.7970506025851899,
H1,gen_qwen3_4b,fitted_vertex_d_H,0.5313593274079847,
H1,gen_qwen3_4b,beta_d_OLS_T3,0.5338258377511333,genre FE
H1,gen_qwen3_4b,beta_d2_OLS_T3,-0.5023209438659715,
H1,gen_qwen3_4b,p_d2_OLS_T3,0.00013317627648697715,
H1,gen_qwen3_4b,vertex_inside_q03_q97,1.0,
H1,gen_qwen3_4b,n_T3,720.0,
H1,gen_qwen3_8b,empirical_d_q03,0.29478869677284064,
H1,gen_qwen3_8b,empirical_d_q97,0.7970506025851899,
H1,gen_qwen3_8b,fitted_vertex_d_H,0.44851515918411905,
H1,gen_qwen3_8b,beta_d_OLS_T3,0.5614672994735803,genre FE
H1,gen_qwen3_8b,beta_d2_OLS_T3,-0.6259178625031641,
H1,gen_qwen3_8b,p_d2_OLS_T3,4.632148515166457e-05,
H1,gen_qwen3_8b,vertex_inside_q03_q97,1.0,
H1,gen_qwen3_8b,n_T3,720.0,
H1,gen_qwen3_14b,empirical_d_q03,0.29478869677284064,
H1,gen_qwen3_14b,empirical_d_q97,0.7970506025851899,
H1,gen_qwen3_14b,fitted_vertex_d_H,0.41202248262835367,
H1,gen_qwen3_14b,beta_d_OLS_T3,0.22423075080843247,genre FE
H1,gen_qwen3_14b,beta_d2_OLS_T3,-0.2721098486883903,
H1,gen_qwen3_14b,p_d2_OLS_T3,0.049150828189963136,
H1,gen_qwen3_14b,vertex_inside_q03_q97,1.0,
H1,gen_qwen3_14b,n_T3,720.0,
H3,gen_qwen3_4b,fit_type,ols_source_fe,
H3,gen_qwen3_4b,n,720.0,
H3,gen_qwen3_4b,beta_dS,-0.0011630079306658714,
H3,gen_qwen3_4b,p_dS,0.4557386258539322,
H3,gen_qwen3_4b,beta_dR,0.004393441032826545,
H3,gen_qwen3_4b,p_dR,0.0025436561812248555,
H3,gen_qwen3_4b,beta_dS2,-0.05744531847759885,
H3,gen_qwen3_4b,p_dS2,0.00035879557995403854,
H3,gen_qwen3_4b,beta_dR2,-0.053561310763786216,
H3,gen_qwen3_4b,p_dR2,0.004463071270456169,
H3,gen_qwen3_4b,beta_dSdR,0.006037193808554674,
H3,gen_qwen3_4b,p_dSdR,3.469661033560035e-05,
H3,gen_qwen3_4b,beta_absdelta,0.1720163988863678,
H3,gen_qwen3_4b,p_absdelta,0.0004392957923811887,
H3,gen_qwen3_8b,fit_type,ols_source_fe,
H3,gen_qwen3_8b,n,720.0,
H3,gen_qwen3_8b,beta_dS,-0.0020506735893757316,
H3,gen_qwen3_8b,p_dS,0.299374815910376,
H3,gen_qwen3_8b,beta_dR,0.004324736864238066,
H3,gen_qwen3_8b,p_dR,0.01887604614201501,
H3,gen_qwen3_8b,beta_dS2,-0.0831745603051971,
H3,gen_qwen3_8b,p_dS2,4.661281940973164e-05,
H3,gen_qwen3_8b,beta_dR2,-0.09137442300688872,
H3,gen_qwen3_8b,p_dR2,0.00013404454983771588,
H3,gen_qwen3_8b,beta_dSdR,0.005900950939541894,
H3,gen_qwen3_8b,p_dSdR,0.0013632649999507592,
H3,gen_qwen3_8b,beta_absdelta,0.21505155913252424,
H3,gen_qwen3_8b,p_absdelta,0.0005225920258588706,
H3,gen_qwen3_14b,fit_type,ols_source_fe,
H3,gen_qwen3_14b,n,720.0,
H3,gen_qwen3_14b,beta_dS,-0.0007302993150156631,
H3,gen_qwen3_14b,p_dS,0.630103761033376,
H3,gen_qwen3_14b,beta_dR,0.005554753527030656,
H3,gen_qwen3_14b,p_dR,9.08981732694266e-05,
H3,gen_qwen3_14b,beta_dS2,-0.023088276289289795,
H3,gen_qwen3_14b,p_dS2,0.13872465654752159,
H3,gen_qwen3_14b,beta_dR2,-0.037935506062500166,
H3,gen_qwen3_14b,p_dR2,0.03813018249588318,
H3,gen_qwen3_14b,beta_dSdR,0.012537476294556527,
H3,gen_qwen3_14b,p_dSdR,5.3972965956063086e-18,
H3,gen_qwen3_14b,beta_absdelta,0.05347444540580419,
H3,gen_qwen3_14b,p_absdelta,0.25921215846906465,
H4,gen_qwen3_4b,beta_d2_genre_academic,-0.5452646241929471,
H4,gen_qwen3_4b,p_d2_genre_academic,0.00032662118093712463,
H4,gen_qwen3_4b,n_genre_academic,180.0,
H4,gen_qwen3_4b,beta_d2_genre_essay,-1.321543837774124,
H4,gen_qwen3_4b,p_d2_genre_essay,1.4598102099721073e-05,
H4,gen_qwen3_4b,n_genre_essay,180.0,
H4,gen_qwen3_4b,beta_d2_genre_narrative,1.256498172700272,
H4,gen_qwen3_4b,p_d2_genre_narrative,0.018604795794943632,
H4,gen_qwen3_4b,n_genre_narrative,180.0,
H4,gen_qwen3_4b,beta_d2_genre_poetry,-0.8997689865219654,
H4,gen_qwen3_4b,p_d2_genre_poetry,0.003465382564155686,
H4,gen_qwen3_4b,n_genre_poetry,180.0,
H4,gen_qwen3_8b,beta_d2_genre_academic,-0.7871431747412634,
H4,gen_qwen3_8b,p_d2_genre_academic,3.518441378985459e-05,
H4,gen_qwen3_8b,n_genre_academic,180.0,
H4,gen_qwen3_8b,beta_d2_genre_essay,-0.4219176817779131,
H4,gen_qwen3_8b,p_d2_genre_essay,0.3831669390811304,
H4,gen_qwen3_8b,n_genre_essay,180.0,
H4,gen_qwen3_8b,beta_d2_genre_narrative,0.5203029820458337,
H4,gen_qwen3_8b,p_d2_genre_narrative,0.3035085213169186,
H4,gen_qwen3_8b,n_genre_narrative,180.0,
H4,gen_qwen3_8b,beta_d2_genre_poetry,-1.232568785730671,
H4,gen_qwen3_8b,p_d2_genre_poetry,0.0011283281594394647,
H4,gen_qwen3_8b,n_genre_poetry,180.0,
H4,gen_qwen3_14b,beta_d2_genre_academic,-0.5813917571158727,
H4,gen_qwen3_14b,p_d2_genre_academic,0.0007637085147810429,
H4,gen_qwen3_14b,n_genre_academic,180.0,
H4,gen_qwen3_14b,beta_d2_genre_essay,-0.4177705065033309,
H4,gen_qwen3_14b,p_d2_genre_essay,0.2620724273069062,
H4,gen_qwen3_14b,n_genre_essay,180.0,
H4,gen_qwen3_14b,beta_d2_genre_narrative,0.747516897512055,
H4,gen_qwen3_14b,p_d2_genre_narrative,0.06858881883096098,
H4,gen_qwen3_14b,n_genre_narrative,180.0,
H4,gen_qwen3_14b,beta_d2_genre_poetry,-0.8368577801618216,
H4,gen_qwen3_14b,p_d2_genre_poetry,0.004045759134642622,
H4,gen_qwen3_14b,n_genre_poetry,180.0,
H5,gen_qwen3_4b,fit_type,ols_source_fe,
H5,gen_qwen3_4b,n,720.0,
H5,gen_qwen3_4b,beta_jsd,0.026479192499956006,
H5,gen_qwen3_4b,p_jsd,0.9020379651505854,
H5,gen_qwen3_4b,beta_jsd2,1.43163150406995,
H5,gen_qwen3_4b,p_jsd2,0.4130490253676632,
H5,gen_qwen3_8b,fit_type,ols_source_fe,
H5,gen_qwen3_8b,n,720.0,
H5,gen_qwen3_8b,beta_jsd,1.0141658246371275,
H5,gen_qwen3_8b,p_jsd,0.0025047204112385365,
H5,gen_qwen3_8b,beta_jsd2,-7.065882911281977,
H5,gen_qwen3_8b,p_jsd2,0.016775224422965876,
H5,gen_qwen3_14b,fit_type,ols_source_fe,
H5,gen_qwen3_14b,n,720.0,
H5,gen_qwen3_14b,beta_jsd,0.29005958091593975,
H5,gen_qwen3_14b,p_jsd,0.4080133992410062,
H5,gen_qwen3_14b,beta_jsd2,-0.5047232289658545,
H5,gen_qwen3_14b,p_jsd2,0.8802215409794814,
H6,gen_qwen3_4b,mean_creativity_auto_T1_d_bin_low,0.2686058405671276,n=135
H6,gen_qwen3_4b,mean_creativity_auto_T2_d_bin_low,0.2635593884686769,n=39
H6,gen_qwen3_4b,mean_creativity_auto_T3_d_bin_low,0.27397752425950855,n=186
H6,gen_qwen3_4b,mean_creativity_auto_T1_d_bin_mid,0.29579766161381454,n=45
H6,gen_qwen3_4b,mean_creativity_auto_T2_d_bin_mid,0.28669292071856395,n=61
H6,gen_qwen3_4b,mean_creativity_auto_T3_d_bin_mid,0.28510216344759165,n=255
H6,gen_qwen3_4b,mean_creativity_auto_T1_d_bin_high,,n=0
H6,gen_qwen3_4b,mean_creativity_auto_T2_d_bin_high,0.2873621758914334,n=80
H6,gen_qwen3_4b,mean_creativity_auto_T3_d_bin_high,0.27546684901131024,n=279
H6,gen_qwen3_4b,mid_bin_mean_T3_minus_T2,-0.0015907572709722984,
H6,gen_qwen3_8b,mean_creativity_auto_T1_d_bin_low,0.28803995208806205,n=135
H6,gen_qwen3_8b,mean_creativity_auto_T2_d_bin_low,0.2947854542039116,n=46
H6,gen_qwen3_8b,mean_creativity_auto_T3_d_bin_low,0.29132825385773753,n=180
H6,gen_qwen3_8b,mean_creativity_auto_T1_d_bin_mid,0.3250385783789032,n=45
H6,gen_qwen3_8b,mean_creativity_auto_T2_d_bin_mid,0.31639024144365197,n=59
H6,gen_qwen3_8b,mean_creativity_auto_T3_d_bin_mid,0.3122912522588976,n=255
H6,gen_qwen3_8b,mean_creativity_auto_T1_d_bin_high,,n=0
H6,gen_qwen3_8b,mean_creativity_auto_T2_d_bin_high,0.2517961435027745,n=75
H6,gen_qwen3_8b,mean_creativity_auto_T3_d_bin_high,0.26308997032761067,n=285
H6,gen_qwen3_8b,mid_bin_mean_T3_minus_T2,-0.004098989184754376,
H6,gen_qwen3_14b,mean_creativity_auto_T1_d_bin_low,0.30338952559967086,n=135
H6,gen_qwen3_14b,mean_creativity_auto_T2_d_bin_low,0.28256425139947927,n=41
H6,gen_qwen3_14b,mean_creativity_auto_T3_d_bin_low,0.3001964382405419,n=186
H6,gen_qwen3_14b,mean_creativity_auto_T1_d_bin_mid,0.3216129123151324,n=45
H6,gen_qwen3_14b,mean_creativity_auto_T2_d_bin_mid,0.3073446620144832,n=68
H6,gen_qwen3_14b,mean_creativity_auto_T3_d_bin_mid,0.31122785640489975,n=246
H6,gen_qwen3_14b,mean_creativity_auto_T1_d_bin_high,,n=0
